"iteration","value","iteration_num","metric","tweedie_variance_power","hyper_param_label"
"Test Set 10",1399.909,10,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 10",1.7628895,10,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 10",5044602,10,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 10",61845.754,10,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 10",0.40358946,10,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 10",33323.902,10,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 10",2246.019,10,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 10",0.64055187,10,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 1",1348.5538,1,"mae",1.75,"tweedie_variance_power 1.75"
"Test Set 1",2.483698,1,"mean_residual_deviance",1.75,"tweedie_variance_power 1.75"
"Test Set 1",4942632.5,1,"mse",1.75,"tweedie_variance_power 1.75"
"Test Set 1",92522.64,1,"null_deviance",1.75,"tweedie_variance_power 1.75"
"Test Set 1",0.41946387,1,"r2",1.75,"tweedie_variance_power 1.75"
"Test Set 1",47359.152,1,"residual_deviance",1.75,"tweedie_variance_power 1.75"
"Test Set 1",2223.2031,1,"rmse",1.75,"tweedie_variance_power 1.75"
"Test Set 1",0.62701195,1,"rmsle",1.75,"tweedie_variance_power 1.75"
"Test Set 2",1327.9056,2,"mae",1.75,"tweedie_variance_power 1.75"
"Test Set 2",2.422415,2,"mean_residual_deviance",1.75,"tweedie_variance_power 1.75"
